Region|construct|question|question_header|question_subheader|answer_type|count_met|count_students|pct_met|report_group|student_group|ext_reference_cleaned|School|lt10supp|rank_order|count_lt10supp|compsupp|flag_supp|count_met_og|count_students_og|suppression_notes|year
RegionA|PS|q01b|Has anyone from your school helped you explore the following post-high school options?|2-year degree/ Associate degree|Yes/No|10|10|1|First Generation Status|||All Schools|0|1|0|0|0|10|10|na|2024
RegionA|PS|q01b|Has anyone from your school helped you explore the following post-high school options?|2-year degree/ Associate degree|Yes/No|82|123|0.666666666666667|First Generation Status|Not First Generation||All Schools|0|2|0|0|0|82|123|na|2024
RegionA|PS|q01b|Has anyone from your school helped you explore the following post-high school options?|2-year degree/ Associate degree|Yes/No|134|257|0.521400778210117|First Generation Status|First Generation||All Schools|0|3|0|0|0|134|257|na|2024
RegionA|PS|q01b|Has anyone from your school helped you explore the following post-high school options?|2-year degree/ Associate degree|Yes/No|0|19|0|Gender|Other/Prefer Not to Say||All Schools|0|1|0|0|0|0|19|na|2024
RegionA|PS|q01b|Has anyone from your school helped you explore the following post-high school options?|2-year degree/ Associate degree|Yes/No|31|41|0.75609756097561|Gender|Unknown||All Schools|0|2|0|0|0|31|41|na|2024
RegionA|PS|q01b|Has anyone from your school helped you explore the following post-high school options?|2-year degree/ Associate degree|Yes/No|94|136|0.691176470588235|Gender|Male||All Schools|0|3|0|0|0|94|136|na|2024
RegionA|PS|q01b|Has anyone from your school helped you explore the following post-high school options?|2-year degree/ Associate degree|Yes/No|101|194|0.520618556701031|Gender|Female||All Schools|0|4|0|0|0|101|194|na|2024
RegionA|PS|q01b|Has anyone from your school helped you explore the following post-high school options?|2-year degree/ Associate degree|Yes/No|31|51|0.607843137254902|Grade Level|10th Grade||All Schools|0|1|0|0|0|31|51|na|2024
RegionA|PS|q01b|Has anyone from your school helped you explore the following post-high school options?|2-year degree/ Associate degree|Yes/No|38|98|0.387755102040816|Grade Level|9th Grade||All Schools|0|2|0|0|0|38|98|na|2024
RegionA|PS|q01b|Has anyone from your school helped you explore the following post-high school options?|2-year degree/ Associate degree|Yes/No|65|117|0.555555555555556|Grade Level|12th Grade||All Schools|0|3|0|0|0|65|117|na|2024
RegionA|PS|q01b|Has anyone from your school helped you explore the following post-high school options?|2-year degree/ Associate degree|Yes/No|92|124|0.741935483870968|Grade Level|11th Grade||All Schools|0|4|0|0|0|92|124|na|2024
RegionA|PS|q01b|Has anyone from your school helped you explore the following post-high school options?|2-year degree/ Associate degree|Yes/No|5|19|0.263157894736842|Race/Ethnicity|Asian/Asian American||All Schools|0|1|0|0|0|5|19|na|2024
RegionA|PS|q01b|Has anyone from your school helped you explore the following post-high school options?|2-year degree/ Associate degree|Yes/No|14|28|0.5|Race/Ethnicity|Black/African American||All Schools|0|2|0|0|0|14|28|na|2024
RegionA|PS|q01b|Has anyone from your school helped you explore the following post-high school options?|2-year degree/ Associate degree|Yes/No|39|49|0.795918367346939|Race/Ethnicity|Unknown||All Schools|0|3|0|0|0|39|49|na|2024
RegionA|PS|q01b|Has anyone from your school helped you explore the following post-high school options?|2-year degree/ Associate degree|Yes/No|42|62|0.67741935483871|Race/Ethnicity|White||All Schools|0|4|0|0|0|42|62|na|2024
RegionA|PS|q01b|Has anyone from your school helped you explore the following post-high school options?|2-year degree/ Associate degree|Yes/No|26|72|0.361111111111111|Race/Ethnicity|Multiracial||All Schools|0|5|0|0|0|26|72|na|2024
RegionA|PS|q01b|Has anyone from your school helped you explore the following post-high school options?|2-year degree/ Associate degree|Yes/No|100|160|0.625|Race/Ethnicity|Hispanic/Latine/x||All Schools|0|6|0|0|0|100|160|na|2024
RegionA|PS|q01b|Has anyone from your school helped you explore the following post-high school options?|2-year degree/ Associate degree|Yes/No|145|279|0.519713261648746|Race/Ethnicity|Students of Color||All Schools|0|7|0|0|0|145|279|na|2024
RegionA|PS|q01c|Has anyone from your school helped you explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|202|390|0.517948717948718|All|All||All Schools|0|1|0|0|0|202|390|na|2024
RegionA|PS|q01c|Has anyone from your school helped you explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|10|10|1|First Generation Status|||All Schools|0|1|0|0|0|10|10|na|2024
RegionA|PS|q01c|Has anyone from your school helped you explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|70|123|0.569105691056911|First Generation Status|Not First Generation||All Schools|0|2|0|0|0|70|123|na|2024
RegionA|PS|q01c|Has anyone from your school helped you explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|122|257|0.474708171206226|First Generation Status|First Generation||All Schools|0|3|0|0|0|122|257|na|2024
RegionA|PS|q01c|Has anyone from your school helped you explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|9|19|0.473684210526316|Gender|Other/Prefer Not to Say||All Schools|0|1|0|0|0|9|19|na|2024
RegionA|PS|q01c|Has anyone from your school helped you explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|30|41|0.731707317073171|Gender|Unknown||All Schools|0|2|0|0|0|30|41|na|2024
RegionA|PS|q01c|Has anyone from your school helped you explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|61|136|0.448529411764706|Gender|Male||All Schools|0|3|0|0|0|61|136|na|2024
RegionA|PS|q01c|Has anyone from your school helped you explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|102|194|0.525773195876289|Gender|Female||All Schools|0|4|0|0|0|102|194|na|2024
RegionA|PS|q01c|Has anyone from your school helped you explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|41|51|0.803921568627451|Grade Level|10th Grade||All Schools|0|1|0|0|0|41|51|na|2024
RegionA|PS|q01c|Has anyone from your school helped you explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|58|98|0.591836734693878|Grade Level|9th Grade||All Schools|0|2|0|0|0|58|98|na|2024
RegionA|PS|q01c|Has anyone from your school helped you explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|33|117|0.282051282051282|Grade Level|12th Grade||All Schools|0|3|0|0|0|33|117|na|2024
RegionA|PS|q01c|Has anyone from your school helped you explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|70|124|0.564516129032258|Grade Level|11th Grade||All Schools|0|4|0|0|0|70|124|na|2024
RegionA|PS|q01c|Has anyone from your school helped you explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|11|19|0.578947368421053|Race/Ethnicity|Asian/Asian American||All Schools|0|1|0|0|0|11|19|na|2024
RegionA|PS|q01c|Has anyone from your school helped you explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|7|28|0.25|Race/Ethnicity|Black/African American||All Schools|0|2|0|0|0|7|28|na|2024
RegionA|PS|q01c|Has anyone from your school helped you explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|39|49|0.795918367346939|Race/Ethnicity|Unknown||All Schools|0|3|0|0|0|39|49|na|2024
RegionA|PS|q01c|Has anyone from your school helped you explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|32|62|0.516129032258065|Race/Ethnicity|White||All Schools|0|4|0|0|0|32|62|na|2024
RegionA|PS|q01c|Has anyone from your school helped you explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|24|72|0.333333333333333|Race/Ethnicity|Multiracial||All Schools|0|5|0|0|0|24|72|na|2024
RegionA|PS|q01c|Has anyone from your school helped you explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|89|160|0.55625|Race/Ethnicity|Hispanic/Latine/x||All Schools|0|6|0|0|0|89|160|na|2024
RegionA|PS|q01c|Has anyone from your school helped you explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|131|279|0.469534050179211|Race/Ethnicity|Students of Color||All Schools|0|7|0|0|0|131|279|na|2024
RegionA|PS|q01d|Has anyone from your school helped you explore the following post-high school options?|4-year degree or higher|Yes/No|194|390|0.497435897435897|All|All||All Schools|0|1|0|0|0|194|390|na|2024
RegionA|PS|q01d|Has anyone from your school helped you explore the following post-high school options?|4-year degree or higher|Yes/No|10|10|1|First Generation Status|||All Schools|0|1|0|0|0|10|10|na|2024
RegionA|PS|q01d|Has anyone from your school helped you explore the following post-high school options?|4-year degree or higher|Yes/No|92|123|0.747967479674797|First Generation Status|Not First Generation||All Schools|0|2|0|0|0|92|123|na|2024
RegionA|PS|q01d|Has anyone from your school helped you explore the following post-high school options?|4-year degree or higher|Yes/No|92|257|0.357976653696498|First Generation Status|First Generation||All Schools|0|3|0|0|0|92|257|na|2024
RegionA|PS|q01d|Has anyone from your school helped you explore the following post-high school options?|4-year degree or higher|Yes/No|9|19|0.473684210526316|Gender|Other/Prefer Not to Say||All Schools|0|1|0|0|0|9|19|na|2024
RegionA|PS|q01d|Has anyone from your school helped you explore the following post-high school options?|4-year degree or higher|Yes/No|20|41|0.48780487804878|Gender|Unknown||All Schools|0|2|0|0|0|20|41|na|2024
RegionA|PS|q01d|Has anyone from your school helped you explore the following post-high school options?|4-year degree or higher|Yes/No|73|136|0.536764705882353|Gender|Male||All Schools|0|3|0|0|0|73|136|na|2024
RegionA|PS|q01d|Has anyone from your school helped you explore the following post-high school options?|4-year degree or higher|Yes/No|92|194|0.474226804123711|Gender|Female||All Schools|0|4|0|0|0|92|194|na|2024
RegionA|PS|q01d|Has anyone from your school helped you explore the following post-high school options?|4-year degree or higher|Yes/No|21|51|0.411764705882353|Grade Level|10th Grade||All Schools|0|1|0|0|0|21|51|na|2024
RegionA|PS|q01d|Has anyone from your school helped you explore the following post-high school options?|4-year degree or higher|Yes/No|27|98|0.275510204081633|Grade Level|9th Grade||All Schools|0|2|0|0|0|27|98|na|2024
RegionA|PS|q01d|Has anyone from your school helped you explore the following post-high school options?|4-year degree or higher|Yes/No|44|117|0.376068376068376|Grade Level|12th Grade||All Schools|0|3|0|0|0|44|117|na|2024
RegionA|PS|q01d|Has anyone from your school helped you explore the following post-high school options?|4-year degree or higher|Yes/No|102|124|0.82258064516129|Grade Level|11th Grade||All Schools|0|4|0|0|0|102|124|na|2024
RegionA|PS|q01d|Has anyone from your school helped you explore the following post-high school options?|4-year degree or higher|Yes/No|6|19|0.315789473684211|Race/Ethnicity|Asian/Asian American||All Schools|0|1|0|0|0|6|19|na|2024
RegionA|PS|q01d|Has anyone from your school helped you explore the following post-high school options?|4-year degree or higher|Yes/No|21|28|0.75|Race/Ethnicity|Black/African American||All Schools|0|2|0|0|0|21|28|na|2024
RegionA|PS|q01d|Has anyone from your school helped you explore the following post-high school options?|4-year degree or higher|Yes/No|29|49|0.591836734693878|Race/Ethnicity|Unknown||All Schools|0|3|0|0|0|29|49|na|2024
RegionA|PS|q01d|Has anyone from your school helped you explore the following post-high school options?|4-year degree or higher|Yes/No|41|62|0.661290322580645|Race/Ethnicity|White||All Schools|0|4|0|0|0|41|62|na|2024
RegionA|PS|q01d|Has anyone from your school helped you explore the following post-high school options?|4-year degree or higher|Yes/No|39|72|0.541666666666667|Race/Ethnicity|Multiracial||All Schools|0|5|0|0|0|39|72|na|2024
RegionA|PS|q01d|Has anyone from your school helped you explore the following post-high school options?|4-year degree or higher|Yes/No|58|160|0.3625|Race/Ethnicity|Hispanic/Latine/x||All Schools|0|6|0|0|0|58|160|na|2024
RegionA|PS|q01d|Has anyone from your school helped you explore the following post-high school options?|4-year degree or higher|Yes/No|124|279|0.444444444444444|Race/Ethnicity|Students of Color||All Schools|0|7|0|0|0|124|279|na|2024
RegionA|PS|q01e|Has anyone from your school helped you explore the following post-high school options?|Someone has talked to me about other options|Yes/No|156|390|0.4|All|All||All Schools|0|1|0|0|0|156|390|na|2024
RegionA|PS|q01e|Has anyone from your school helped you explore the following post-high school options?|Someone has talked to me about other options|Yes/No|0|10|0|First Generation Status|||All Schools|0|1|0|0|0|0|10|na|2024
RegionA|PS|q01e|Has anyone from your school helped you explore the following post-high school options?|Someone has talked to me about other options|Yes/No|82|123|0.666666666666667|First Generation Status|Not First Generation||All Schools|0|2|0|0|0|82|123|na|2024
RegionA|PS|q01e|Has anyone from your school helped you explore the following post-high school options?|Someone has talked to me about other options|Yes/No|74|257|0.287937743190661|First Generation Status|First Generation||All Schools|0|3|0|0|0|74|257|na|2024
RegionA|PS|q01e|Has anyone from your school helped you explore the following post-high school options?|Someone has talked to me about other options|Yes/No|9|19|0.473684210526316|Gender|Other/Prefer Not to Say||All Schools|0|1|0|0|0|9|19|na|2024
RegionA|PS|q01e|Has anyone from your school helped you explore the following post-high school options?|Someone has talked to me about other options|Yes/No|11|41|0.268292682926829|Gender|Unknown||All Schools|0|2|0|0|0|11|41|na|2024
RegionA|PS|q01e|Has anyone from your school helped you explore the following post-high school options?|Someone has talked to me about other options|Yes/No|73|136|0.536764705882353|Gender|Male||All Schools|0|3|0|0|0|73|136|na|2024
RegionA|PS|q01e|Has anyone from your school helped you explore the following post-high school options?|Someone has talked to me about other options|Yes/No|63|194|0.324742268041237|Gender|Female||All Schools|0|4|0|0|0|63|194|na|2024
RegionA|PS|q01e|Has anyone from your school helped you explore the following post-high school options?|Someone has talked to me about other options|Yes/No|10|51|0.196078431372549|Grade Level|10th Grade||All Schools|0|1|0|0|0|10|51|na|2024
RegionA|PS|q01e|Has anyone from your school helped you explore the following post-high school options?|Someone has talked to me about other options|Yes/No|48|98|0.489795918367347|Grade Level|9th Grade||All Schools|0|2|0|0|0|48|98|na|2024
RegionA|PS|q01e|Has anyone from your school helped you explore the following post-high school options?|Someone has talked to me about other options|Yes/No|43|117|0.367521367521368|Grade Level|12th Grade||All Schools|0|3|0|0|0|43|117|na|2024
RegionA|PS|q01e|Has anyone from your school helped you explore the following post-high school options?|Someone has talked to me about other options|Yes/No|55|124|0.443548387096774|Grade Level|11th Grade||All Schools|0|4|0|0|0|55|124|na|2024
RegionA|PS|q01e|Has anyone from your school helped you explore the following post-high school options?|Someone has talked to me about other options|Yes/No|15|19|0.789473684210526|Race/Ethnicity|Asian/Asian American||All Schools|0|1|0|0|0|15|19|na|2024
RegionA|PS|q01e|Has anyone from your school helped you explore the following post-high school options?|Someone has talked to me about other options|Yes/No|21|28|0.75|Race/Ethnicity|Black/African American||All Schools|0|2|0|0|0|21|28|na|2024
RegionA|PS|q01e|Has anyone from your school helped you explore the following post-high school options?|Someone has talked to me about other options|Yes/No|19|49|0.387755102040816|Race/Ethnicity|Unknown||All Schools|0|3|0|0|0|19|49|na|2024
RegionA|PS|q01e|Has anyone from your school helped you explore the following post-high school options?|Someone has talked to me about other options|Yes/No|32|62|0.516129032258065|Race/Ethnicity|White||All Schools|0|4|0|0|0|32|62|na|2024
RegionA|PS|q01e|Has anyone from your school helped you explore the following post-high school options?|Someone has talked to me about other options|Yes/No|29|72|0.402777777777778|Race/Ethnicity|Multiracial||All Schools|0|5|0|0|0|29|72|na|2024
RegionA|PS|q01e|Has anyone from your school helped you explore the following post-high school options?|Someone has talked to me about other options|Yes/No|40|160|0.25|Race/Ethnicity|Hispanic/Latine/x||All Schools|0|6|0|0|0|40|160|na|2024
RegionA|PS|q01e|Has anyone from your school helped you explore the following post-high school options?|Someone has talked to me about other options|Yes/No|105|279|0.376344086021505|Race/Ethnicity|Students of Color||All Schools|0|7|0|0|0|105|279|na|2024
RegionA|PS|q02a|How much do you know about the following post-high school options?|1-year certificate/ trades program|Knowledgeable|136|380|0.357894736842105|All|All||All Schools|0|1|0|0|0|136|380|na|2024
RegionA|PS|q02a|How much do you know about the following post-high school options?|1-year certificate/ trades program|Knowledgeable|31|123|0.252032520325203|First Generation Status|Not First Generation||All Schools|0|1|0|0|0|31|123|na|2024
RegionA|PS|q02a|How much do you know about the following post-high school options?|1-year certificate/ trades program|Knowledgeable|105|257|0.408560311284047|First Generation Status|First Generation||All Schools|0|2|0|0|0|105|257|na|2024
RegionA|PS|q02a|How much do you know about the following post-high school options?|1-year certificate/ trades program|Knowledgeable|0|19|0|Gender|Other/Prefer Not to Say||All Schools|0|1|0|0|0|0|19|na|2024
RegionA|PS|q02a|How much do you know about the following post-high school options?|1-year certificate/ trades program|Knowledgeable|10|31|0.32258064516129|Gender|Unknown||All Schools|0|2|0|0|0|10|31|na|2024
RegionA|PS|q02a|How much do you know about the following post-high school options?|1-year certificate/ trades program|Knowledgeable|85|136|0.625|Gender|Male||All Schools|0|3|0|0|0|85|136|na|2024
RegionA|PS|q02a|How much do you know about the following post-high school options?|1-year certificate/ trades program|Knowledgeable|41|194|0.211340206185567|Gender|Female||All Schools|0|4|0|0|0|41|194|na|2024
RegionA|PS|q02a|How much do you know about the following post-high school options?|1-year certificate/ trades program|Knowledgeable|30|51|0.588235294117647|Grade Level|10th Grade||All Schools|0|1|0|0|0|30|51|na|2024
RegionA|PS|q02a|How much do you know about the following post-high school options?|1-year certificate/ trades program|Knowledgeable|0|98|0|Grade Level|9th Grade||All Schools|0|2|0|0|0|0|98|na|2024
RegionA|PS|q02a|How much do you know about the following post-high school options?|1-year certificate/ trades program|Knowledgeable|33|114|0.289473684210526|Grade Level|11th Grade||All Schools|0|3|0|0|0|33|114|na|2024
RegionA|PS|q02a|How much do you know about the following post-high school options?|1-year certificate/ trades program|Knowledgeable|73|117|0.623931623931624|Grade Level|12th Grade||All Schools|0|4|0|0|0|73|117|na|2024
RegionA|PS|q02a|How much do you know about the following post-high school options?|1-year certificate/ trades program|Knowledgeable|3|19|0.157894736842105|Race/Ethnicity|Asian/Asian American||All Schools|0|1|0|0|0|3|19|na|2024
RegionA|PS|q02a|How much do you know about the following post-high school options?|1-year certificate/ trades program|Knowledgeable|7|28|0.25|Race/Ethnicity|Black/African American||All Schools|0|2|0|0|0|7|28|na|2024
RegionA|PS|q02a|How much do you know about the following post-high school options?|1-year certificate/ trades program|Knowledgeable|10|39|0.256410256410256|Race/Ethnicity|Unknown||All Schools|0|3|0|0|0|10|39|na|2024
RegionA|PS|q02a|How much do you know about the following post-high school options?|1-year certificate/ trades program|Knowledgeable|32|62|0.516129032258065|Race/Ethnicity|White||All Schools|0|4|0|0|0|32|62|na|2024
RegionA|PS|q02a|How much do you know about the following post-high school options?|1-year certificate/ trades program|Knowledgeable|23|72|0.319444444444444|Race/Ethnicity|Multiracial||All Schools|0|5|0|0|0|23|72|na|2024
RegionA|PS|q02a|How much do you know about the following post-high school options?|1-year certificate/ trades program|Knowledgeable|61|160|0.38125|Race/Ethnicity|Hispanic/Latine/x||All Schools|0|6|0|0|0|61|160|na|2024
RegionA|PS|q02a|How much do you know about the following post-high school options?|1-year certificate/ trades program|Knowledgeable|94|279|0.336917562724014|Race/Ethnicity|Students of Color||All Schools|0|7|0|0|0|94|279|na|2024
RegionA|PS|q02b|How much do you know about the following post-high school options?|2-year degree/ Associate degree|Knowledgeable|179|380|0.471052631578947|All|All||All Schools|0|1|0|0|0|179|380|na|2024
RegionA|PS|q02b|How much do you know about the following post-high school options?|2-year degree/ Associate degree|Knowledgeable|43|123|0.349593495934959|First Generation Status|Not First Generation||All Schools|0|1|0|0|0|43|123|na|2024
RegionA|PS|q02b|How much do you know about the following post-high school options?|2-year degree/ Associate degree|Knowledgeable|136|257|0.529182879377432|First Generation Status|First Generation||All Schools|0|2|0|0|0|136|257|na|2024
RegionA|PS|q02b|How much do you know about the following post-high school options?|2-year degree/ Associate degree|Knowledgeable|0|19|0|Gender|Other/Prefer Not to Say||All Schools|0|1|0|0|0|0|19|na|2024
RegionA|PS|q02b|How much do you know about the following post-high school options?|2-year degree/ Associate degree|Knowledgeable|0|31|0|Gender|Unknown||All Schools|0|2|0|0|0|0|31|na|2024
RegionA|PS|q02b|How much do you know about the following post-high school options?|2-year degree/ Associate degree|Knowledgeable|107|136|0.786764705882353|Gender|Male||All Schools|0|3|0|0|0|107|136|na|2024
RegionA|PS|q02b|How much do you know about the following post-high school options?|2-year degree/ Associate degree|Knowledgeable|72|194|0.371134020618557|Gender|Female||All Schools|0|4|0|0|0|72|194|na|2024
RegionA|PS|q02b|How much do you know about the following post-high school options?|2-year degree/ Associate degree|Knowledgeable|20|51|0.392156862745098|Grade Level|10th Grade||All Schools|0|1|0|0|0|20|51|na|2024
RegionA|PS|q02b|How much do you know about the following post-high school options?|2-year degree/ Associate degree|Knowledgeable|10|98|0.102040816326531|Grade Level|9th Grade||All Schools|0|2|0|0|0|10|98|na|2024
RegionA|PS|q02b|How much do you know about the following post-high school options?|2-year degree/ Associate degree|Knowledgeable|54|114|0.473684210526316|Grade Level|11th Grade||All Schools|0|3|0|0|0|54|114|na|2024
RegionA|PS|q02b|How much do you know about the following post-high school options?|2-year degree/ Associate degree|Knowledgeable|95|117|0.811965811965812|Grade Level|12th Grade||All Schools|0|4|0|0|0|95|117|na|2024
RegionA|PS|q02b|How much do you know about the following post-high school options?|2-year degree/ Associate degree|Knowledgeable|6|19|0.315789473684211|Race/Ethnicity|Asian/Asian American||All Schools|0|1|0|0|0|6|19|na|2024
RegionA|PS|q02b|How much do you know about the following post-high school options?|2-year degree/ Associate degree|Knowledgeable|21|28|0.75|Race/Ethnicity|Black/African American||All Schools|0|2|0|0|0|21|28|na|2024
RegionA|PS|q02b|How much do you know about the following post-high school options?|2-year degree/ Associate degree|Knowledgeable|0|39|0|Race/Ethnicity|Unknown||All Schools|0|3|0|0|0|0|39|na|2024
RegionA|PS|q02b|How much do you know about the following post-high school options?|2-year degree/ Associate degree|Knowledgeable|52|62|0.838709677419355|Race/Ethnicity|White||All Schools|0|4|0|0|0|52|62|na|2024
RegionA|PS|q02b|How much do you know about the following post-high school options?|2-year degree/ Associate degree|Knowledgeable|19|72|0.263888888888889|Race/Ethnicity|Multiracial||All Schools|0|5|0|0|0|19|72|na|2024
RegionA|PS|q02b|How much do you know about the following post-high school options?|2-year degree/ Associate degree|Knowledgeable|81|160|0.50625|Race/Ethnicity|Hispanic/Latine/x||All Schools|0|6|0|0|0|81|160|na|2024
RegionA|PS|q02b|How much do you know about the following post-high school options?|2-year degree/ Associate degree|Knowledgeable|127|279|0.455197132616487|Race/Ethnicity|Students of Color||All Schools|0|7|0|0|0|127|279|na|2024
RegionA|PS|q02c|How much do you know about the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Knowledgeable|183|380|0.481578947368421|All|All||All Schools|0|1|0|0|0|183|380|na|2024
RegionA|PS|q02c|How much do you know about the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Knowledgeable|50|123|0.40650406504065|First Generation Status|Not First Generation||All Schools|0|1|0|0|0|50|123|na|2024
RegionA|PS|q02c|How much do you know about the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Knowledgeable|133|257|0.517509727626459|First Generation Status|First Generation||All Schools|0|2|0|0|0|133|257|na|2024
