ext_reference_cleaned|School|Region|construct|question|question_header|question_subheader|answer_type|count_met|count_students|pct_met|report_group|student_group|lt10supp|rank_order|count_lt10supp|compsupp|flag_supp|count_met_og|count_students_og|suppression_notes|year
|All Schools|All Regions|PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|11|33|0.333333333333333|Race/Ethnicity|Asian/Asian American|0|1|0|0|0|11|33|na|2024
|All Schools|All Regions|PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|50|90|0.555555555555556|Race/Ethnicity|Black/African American|0|2|0|0|0|50|90|na|2024
|All Schools|All Regions|PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|135|176|0.767045454545455|Race/Ethnicity|Unknown|0|3|0|0|0|135|176|na|2024
|All Schools|All Regions|PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|192|276|0.695652173913043|Race/Ethnicity|White|0|4|0|0|0|192|276|na|2024
|All Schools|All Regions|PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|162|323|0.501547987616099|Race/Ethnicity|Multiracial|0|5|0|0|0|162|323|na|2024
|All Schools|All Regions|PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|254|551|0.460980036297641|Race/Ethnicity|Hispanic/Latine/x|0|6|0|0|0|254|551|na|2024
|All Schools|All Regions|PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|477|997|0.478435305917753|Race/Ethnicity|Students of Color|0|7|0|0|0|477|997|na|2024
|All Schools|All Regions|PS|q01b|Has anyone from your school helped you explore the following post-high school options?|2-year degree/ Associate degree|Yes/No|838|1449|0.578329882677709|All|All|0|1|0|0|0|838|1449|na|2024
|All Schools|All Regions|PS|q01b|Has anyone from your school helped you explore the following post-high school options?|2-year degree/ Associate degree|Yes/No|42|42|1|First Generation Status||0|1|0|0|0|42|42|na|2024
|All Schools|All Regions|PS|q01b|Has anyone from your school helped you explore the following post-high school options?|2-year degree/ Associate degree|Yes/No|274|416|0.658653846153846|First Generation Status|Not First Generation|0|2|0|0|0|274|416|na|2024
|All Schools|All Regions|PS|q01b|Has anyone from your school helped you explore the following post-high school options?|2-year degree/ Associate degree|Yes/No|522|991|0.526740665993946|First Generation Status|First Generation|0|3|0|0|0|522|991|na|2024
|All Schools|All Regions|PS|q01b|Has anyone from your school helped you explore the following post-high school options?|2-year degree/ Associate degree|Yes/No|0|53|0|Gender|Other/Prefer Not to Say|0|1|0|0|0|0|53|na|2024
|All Schools|All Regions|PS|q01b|Has anyone from your school helped you explore the following post-high school options?|2-year degree/ Associate degree|Yes/No|126|167|0.754491017964072|Gender|Unknown|0|2|0|0|0|126|167|na|2024
|All Schools|All Regions|PS|q01b|Has anyone from your school helped you explore the following post-high school options?|2-year degree/ Associate degree|Yes/No|351|517|0.678916827852998|Gender|Male|0|3|0|0|0|351|517|na|2024
|All Schools|All Regions|PS|q01b|Has anyone from your school helped you explore the following post-high school options?|2-year degree/ Associate degree|Yes/No|361|712|0.507022471910112|Gender|Female|0|4|0|0|0|361|712|na|2024
|All Schools|All Regions|PS|q01b|Has anyone from your school helped you explore the following post-high school options?|2-year degree/ Associate degree|Yes/No|101|209|0.483253588516746|Grade Level|10th Grade|0|1|0|0|0|101|209|na|2024
|All Schools|All Regions|PS|q01b|Has anyone from your school helped you explore the following post-high school options?|2-year degree/ Associate degree|Yes/No|107|324|0.330246913580247|Grade Level|9th Grade|0|2|0|0|0|107|324|na|2024
|All Schools|All Regions|PS|q01b|Has anyone from your school helped you explore the following post-high school options?|2-year degree/ Associate degree|Yes/No|256|443|0.577878103837472|Grade Level|12th Grade|0|3|0|0|0|256|443|na|2024
|All Schools|All Regions|PS|q01b|Has anyone from your school helped you explore the following post-high school options?|2-year degree/ Associate degree|Yes/No|374|473|0.790697674418605|Grade Level|11th Grade|0|4|0|0|0|374|473|na|2024
|All Schools|All Regions|PS|q01b|Has anyone from your school helped you explore the following post-high school options?|2-year degree/ Associate degree|Yes/No|11|33|0.333333333333333|Race/Ethnicity|Asian/Asian American|0|1|0|0|0|11|33|na|2024
|All Schools|All Regions|PS|q01b|Has anyone from your school helped you explore the following post-high school options?|2-year degree/ Associate degree|Yes/No|32|90|0.355555555555556|Race/Ethnicity|Black/African American|0|2|0|0|0|32|90|na|2024
|All Schools|All Regions|PS|q01b|Has anyone from your school helped you explore the following post-high school options?|2-year degree/ Associate degree|Yes/No|135|176|0.767045454545455|Race/Ethnicity|Unknown|0|3|0|0|0|135|176|na|2024
|All Schools|All Regions|PS|q01b|Has anyone from your school helped you explore the following post-high school options?|2-year degree/ Associate degree|Yes/No|192|276|0.695652173913043|Race/Ethnicity|White|0|4|0|0|0|192|276|na|2024
|All Schools|All Regions|PS|q01b|Has anyone from your school helped you explore the following post-high school options?|2-year degree/ Associate degree|Yes/No|104|323|0.321981424148607|Race/Ethnicity|Multiracial|0|5|0|0|0|104|323|na|2024
|All Schools|All Regions|PS|q01b|Has anyone from your school helped you explore the following post-high school options?|2-year degree/ Associate degree|Yes/No|364|551|0.660617059891107|Race/Ethnicity|Hispanic/Latine/x|0|6|0|0|0|364|551|na|2024
|All Schools|All Regions|PS|q01b|Has anyone from your school helped you explore the following post-high school options?|2-year degree/ Associate degree|Yes/No|511|997|0.512537612838516|Race/Ethnicity|Students of Color|0|7|0|0|0|511|997|na|2024
|All Schools|All Regions|PS|q01c|Has anyone from your school helped you explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|686|1449|0.473429951690821|All|All|0|1|0|0|0|686|1449|na|2024
|All Schools|All Regions|PS|q01c|Has anyone from your school helped you explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|42|42|1|First Generation Status||0|1|0|0|0|42|42|na|2024
|All Schools|All Regions|PS|q01c|Has anyone from your school helped you explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|231|416|0.555288461538462|First Generation Status|Not First Generation|0|2|0|0|0|231|416|na|2024
|All Schools|All Regions|PS|q01c|Has anyone from your school helped you explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|413|991|0.416750756811302|First Generation Status|First Generation|0|3|0|0|0|413|991|na|2024
|All Schools|All Regions|PS|q01c|Has anyone from your school helped you explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|10|53|0.188679245283019|Gender|Other/Prefer Not to Say|0|1|0|0|0|10|53|na|2024
|All Schools|All Regions|PS|q01c|Has anyone from your school helped you explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|124|167|0.74251497005988|Gender|Unknown|0|2|0|0|0|124|167|na|2024
|All Schools|All Regions|PS|q01c|Has anyone from your school helped you explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|221|517|0.427466150870406|Gender|Male|0|3|0|0|0|221|517|na|2024
|All Schools|All Regions|PS|q01c|Has anyone from your school helped you explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|331|712|0.464887640449438|Gender|Female|0|4|0|0|0|331|712|na|2024
|All Schools|All Regions|PS|q01c|Has anyone from your school helped you explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|142|209|0.679425837320574|Grade Level|10th Grade|0|1|0|0|0|142|209|na|2024
|All Schools|All Regions|PS|q01c|Has anyone from your school helped you explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|161|324|0.496913580246914|Grade Level|9th Grade|0|2|0|0|0|161|324|na|2024
|All Schools|All Regions|PS|q01c|Has anyone from your school helped you explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|126|443|0.284424379232506|Grade Level|12th Grade|0|3|0|0|0|126|443|na|2024
|All Schools|All Regions|PS|q01c|Has anyone from your school helped you explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|257|473|0.543340380549683|Grade Level|11th Grade|0|4|0|0|0|257|473|na|2024
|All Schools|All Regions|PS|q01c|Has anyone from your school helped you explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|19|33|0.575757575757576|Race/Ethnicity|Asian/Asian American|0|1|0|0|0|19|33|na|2024
|All Schools|All Regions|PS|q01c|Has anyone from your school helped you explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|16|90|0.177777777777778|Race/Ethnicity|Black/African American|0|2|0|0|0|16|90|na|2024
|All Schools|All Regions|PS|q01c|Has anyone from your school helped you explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|134|176|0.761363636363636|Race/Ethnicity|Unknown|0|3|0|0|0|134|176|na|2024
|All Schools|All Regions|PS|q01c|Has anyone from your school helped you explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|150|276|0.543478260869565|Race/Ethnicity|White|0|4|0|0|0|150|276|na|2024
|All Schools|All Regions|PS|q01c|Has anyone from your school helped you explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|109|323|0.337461300309598|Race/Ethnicity|Multiracial|0|5|0|0|0|109|323|na|2024
|All Schools|All Regions|PS|q01c|Has anyone from your school helped you explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|258|551|0.468239564428312|Race/Ethnicity|Hispanic/Latine/x|0|6|0|0|0|258|551|na|2024
|All Schools|All Regions|PS|q01c|Has anyone from your school helped you explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|402|997|0.40320962888666|Race/Ethnicity|Students of Color|0|7|0|0|0|402|997|na|2024
|All Schools|All Regions|PS|q01d|Has anyone from your school helped you explore the following post-high school options?|4-year degree or higher|Yes/No|649|1449|0.447895100069013|All|All|0|1|0|0|0|649|1449|na|2024
|All Schools|All Regions|PS|q01d|Has anyone from your school helped you explore the following post-high school options?|4-year degree or higher|Yes/No|42|42|1|First Generation Status||0|1|0|0|0|42|42|na|2024
|All Schools|All Regions|PS|q01d|Has anyone from your school helped you explore the following post-high school options?|4-year degree or higher|Yes/No|287|416|0.689903846153846|First Generation Status|Not First Generation|0|2|0|0|0|287|416|na|2024
|All Schools|All Regions|PS|q01d|Has anyone from your school helped you explore the following post-high school options?|4-year degree or higher|Yes/No|320|991|0.322906155398587|First Generation Status|First Generation|0|3|0|0|0|320|991|na|2024
|All Schools|All Regions|PS|q01d|Has anyone from your school helped you explore the following post-high school options?|4-year degree or higher|Yes/No|10|53|0.188679245283019|Gender|Other/Prefer Not to Say|0|1|0|0|0|10|53|na|2024
|All Schools|All Regions|PS|q01d|Has anyone from your school helped you explore the following post-high school options?|4-year degree or higher|Yes/No|83|167|0.497005988023952|Gender|Unknown|0|2|0|0|0|83|167|na|2024
|All Schools|All Regions|PS|q01d|Has anyone from your school helped you explore the following post-high school options?|4-year degree or higher|Yes/No|266|517|0.514506769825919|Gender|Male|0|3|0|0|0|266|517|na|2024
|All Schools|All Regions|PS|q01d|Has anyone from your school helped you explore the following post-high school options?|4-year degree or higher|Yes/No|290|712|0.407303370786517|Gender|Female|0|4|0|0|0|290|712|na|2024
|All Schools|All Regions|PS|q01d|Has anyone from your school helped you explore the following post-high school options?|4-year degree or higher|Yes/No|85|209|0.406698564593301|Grade Level|10th Grade|0|1|0|0|0|85|209|na|2024
|All Schools|All Regions|PS|q01d|Has anyone from your school helped you explore the following post-high school options?|4-year degree or higher|Yes/No|30|324|0.0925925925925926|Grade Level|9th Grade|0|2|0|0|0|30|324|na|2024
|All Schools|All Regions|PS|q01d|Has anyone from your school helped you explore the following post-high school options?|4-year degree or higher|Yes/No|172|443|0.388261851015801|Grade Level|12th Grade|0|3|0|0|0|172|443|na|2024
|All Schools|All Regions|PS|q01d|Has anyone from your school helped you explore the following post-high school options?|4-year degree or higher|Yes/No|362|473|0.765327695560254|Grade Level|11th Grade|0|4|0|0|0|362|473|na|2024
|All Schools|All Regions|PS|q01d|Has anyone from your school helped you explore the following post-high school options?|4-year degree or higher|Yes/No|8|33|0.242424242424242|Race/Ethnicity|Asian/Asian American|0|1|0|0|0|8|33|na|2024
|All Schools|All Regions|PS|q01d|Has anyone from your school helped you explore the following post-high school options?|4-year degree or higher|Yes/No|50|90|0.555555555555556|Race/Ethnicity|Black/African American|0|2|0|0|0|50|90|na|2024
|All Schools|All Regions|PS|q01d|Has anyone from your school helped you explore the following post-high school options?|4-year degree or higher|Yes/No|93|176|0.528409090909091|Race/Ethnicity|Unknown|0|3|0|0|0|93|176|na|2024
|All Schools|All Regions|PS|q01d|Has anyone from your school helped you explore the following post-high school options?|4-year degree or higher|Yes/No|168|276|0.608695652173913|Race/Ethnicity|White|0|4|0|0|0|168|276|na|2024
|All Schools|All Regions|PS|q01d|Has anyone from your school helped you explore the following post-high school options?|4-year degree or higher|Yes/No|172|323|0.532507739938081|Race/Ethnicity|Multiracial|0|5|0|0|0|172|323|na|2024
|All Schools|All Regions|PS|q01d|Has anyone from your school helped you explore the following post-high school options?|4-year degree or higher|Yes/No|158|551|0.286751361161524|Race/Ethnicity|Hispanic/Latine/x|0|6|0|0|0|158|551|na|2024
|All Schools|All Regions|PS|q01d|Has anyone from your school helped you explore the following post-high school options?|4-year degree or higher|Yes/No|388|997|0.389167502507523|Race/Ethnicity|Students of Color|0|7|0|0|0|388|997|na|2024
|All Schools|All Regions|PS|q01e|Has anyone from your school helped you explore the following post-high school options?|Someone has talked to me about other options|Yes/No|478|1449|0.329882677708765|All|All|0|1|0|0|0|478|1449|na|2024
|All Schools|All Regions|PS|q01e|Has anyone from your school helped you explore the following post-high school options?|Someone has talked to me about other options|Yes/No|0|42|0|First Generation Status||0|1|0|0|0|0|42|na|2024
|All Schools|All Regions|PS|q01e|Has anyone from your school helped you explore the following post-high school options?|Someone has talked to me about other options|Yes/No|247|416|0.59375|First Generation Status|Not First Generation|0|2|0|0|0|247|416|na|2024
|All Schools|All Regions|PS|q01e|Has anyone from your school helped you explore the following post-high school options?|Someone has talked to me about other options|Yes/No|231|991|0.233097880928355|First Generation Status|First Generation|0|3|0|0|0|231|991|na|2024
|All Schools|All Regions|PS|q01e|Has anyone from your school helped you explore the following post-high school options?|Someone has talked to me about other options|Yes/No|10|53|0.188679245283019|Gender|Other/Prefer Not to Say|0|1|0|0|0|10|53|na|2024
|All Schools|All Regions|PS|q01e|Has anyone from your school helped you explore the following post-high school options?|Someone has talked to me about other options|Yes/No|43|167|0.25748502994012|Gender|Unknown|0|2|0|0|0|43|167|na|2024
|All Schools|All Regions|PS|q01e|Has anyone from your school helped you explore the following post-high school options?|Someone has talked to me about other options|Yes/No|237|517|0.458413926499033|Gender|Male|0|3|0|0|0|237|517|na|2024
|All Schools|All Regions|PS|q01e|Has anyone from your school helped you explore the following post-high school options?|Someone has talked to me about other options|Yes/No|188|712|0.264044943820225|Gender|Female|0|4|0|0|0|188|712|na|2024
|All Schools|All Regions|PS|q01e|Has anyone from your school helped you explore the following post-high school options?|Someone has talked to me about other options|Yes/No|16|209|0.076555023923445|Grade Level|10th Grade|0|1|0|0|0|16|209|na|2024
|All Schools|All Regions|PS|q01e|Has anyone from your school helped you explore the following post-high school options?|Someone has talked to me about other options|Yes/No|112|324|0.345679012345679|Grade Level|9th Grade|0|2|0|0|0|112|324|na|2024
|All Schools|All Regions|PS|q01e|Has anyone from your school helped you explore the following post-high school options?|Someone has talked to me about other options|Yes/No|142|443|0.320541760722348|Grade Level|12th Grade|0|3|0|0|0|142|443|na|2024
|All Schools|All Regions|PS|q01e|Has anyone from your school helped you explore the following post-high school options?|Someone has talked to me about other options|Yes/No|208|473|0.439746300211416|Grade Level|11th Grade|0|4|0|0|0|208|473|na|2024
|All Schools|All Regions|PS|q01e|Has anyone from your school helped you explore the following post-high school options?|Someone has talked to me about other options|Yes/No|20|33|0.606060606060606|Race/Ethnicity|Asian/Asian American|0|1|0|0|0|20|33|na|2024
|All Schools|All Regions|PS|q01e|Has anyone from your school helped you explore the following post-high school options?|Someone has talked to me about other options|Yes/No|49|90|0.544444444444444|Race/Ethnicity|Black/African American|0|2|0|0|0|49|90|na|2024
|All Schools|All Regions|PS|q01e|Has anyone from your school helped you explore the following post-high school options?|Someone has talked to me about other options|Yes/No|52|176|0.295454545454545|Race/Ethnicity|Unknown|0|3|0|0|0|52|176|na|2024
|All Schools|All Regions|PS|q01e|Has anyone from your school helped you explore the following post-high school options?|Someone has talked to me about other options|Yes/No|149|276|0.539855072463768|Race/Ethnicity|White|0|4|0|0|0|149|276|na|2024
|All Schools|All Regions|PS|q01e|Has anyone from your school helped you explore the following post-high school options?|Someone has talked to me about other options|Yes/No|130|323|0.402476780185758|Race/Ethnicity|Multiracial|0|5|0|0|0|130|323|na|2024
|All Schools|All Regions|PS|q01e|Has anyone from your school helped you explore the following post-high school options?|Someone has talked to me about other options|Yes/No|78|551|0.141560798548094|Race/Ethnicity|Hispanic/Latine/x|0|6|0|0|0|78|551|na|2024
|All Schools|All Regions|PS|q01e|Has anyone from your school helped you explore the following post-high school options?|Someone has talked to me about other options|Yes/No|277|997|0.277833500501505|Race/Ethnicity|Students of Color|0|7|0|0|0|277|997|na|2024
|All Schools|All Regions|PS|q02a|How much do you know about the following post-high school options?|1-year certificate/ trades program|Knowledgeable|519|1407|0.368869936034115|All|All|0|1|0|0|0|519|1407|na|2024
|All Schools|All Regions|PS|q02a|How much do you know about the following post-high school options?|1-year certificate/ trades program|Knowledgeable|127|416|0.305288461538462|First Generation Status|Not First Generation|0|1|0|0|0|127|416|na|2024
|All Schools|All Regions|PS|q02a|How much do you know about the following post-high school options?|1-year certificate/ trades program|Knowledgeable|392|991|0.395560040363269|First Generation Status|First Generation|0|2|0|0|0|392|991|na|2024
|All Schools|All Regions|PS|q02a|How much do you know about the following post-high school options?|1-year certificate/ trades program|Knowledgeable|0|53|0|Gender|Other/Prefer Not to Say|0|1|0|0|0|0|53|na|2024
|All Schools|All Regions|PS|q02a|How much do you know about the following post-high school options?|1-year certificate/ trades program|Knowledgeable|41|125|0.328|Gender|Unknown|0|2|0|0|0|41|125|na|2024
|All Schools|All Regions|PS|q02a|How much do you know about the following post-high school options?|1-year certificate/ trades program|Knowledgeable|312|517|0.603481624758221|Gender|Male|0|3|0|0|0|312|517|na|2024
|All Schools|All Regions|PS|q02a|How much do you know about the following post-high school options?|1-year certificate/ trades program|Knowledgeable|166|712|0.23314606741573|Gender|Female|0|4|0|0|0|166|712|na|2024
|All Schools|All Regions|PS|q02a|How much do you know about the following post-high school options?|1-year certificate/ trades program|Knowledgeable|99|209|0.473684210526316|Grade Level|10th Grade|0|1|0|0|0|99|209|na|2024
|All Schools|All Regions|PS|q02a|How much do you know about the following post-high school options?|1-year certificate/ trades program|Knowledgeable|0|324|0|Grade Level|9th Grade|0|2|0|0|0|0|324|na|2024
|All Schools|All Regions|PS|q02a|How much do you know about the following post-high school options?|1-year certificate/ trades program|Knowledgeable|150|431|0.348027842227378|Grade Level|11th Grade|0|3|0|0|0|150|431|na|2024
|All Schools|All Regions|PS|q02a|How much do you know about the following post-high school options?|1-year certificate/ trades program|Knowledgeable|270|443|0.609480812641084|Grade Level|12th Grade|0|4|0|0|0|270|443|na|2024
|All Schools|All Regions|PS|q02a|How much do you know about the following post-high school options?|1-year certificate/ trades program|Knowledgeable|5|33|0.151515151515152|Race/Ethnicity|Asian/Asian American|0|1|0|0|0|5|33|na|2024
|All Schools|All Regions|PS|q02a|How much do you know about the following post-high school options?|1-year certificate/ trades program|Knowledgeable|17|90|0.188888888888889|Race/Ethnicity|Black/African American|0|2|0|0|0|17|90|na|2024
|All Schools|All Regions|PS|q02a|How much do you know about the following post-high school options?|1-year certificate/ trades program|Knowledgeable|41|134|0.305970149253731|Race/Ethnicity|Unknown|0|3|0|0|0|41|134|na|2024
|All Schools|All Regions|PS|q02a|How much do you know about the following post-high school options?|1-year certificate/ trades program|Knowledgeable|149|276|0.539855072463768|Race/Ethnicity|White|0|4|0|0|0|149|276|na|2024
|All Schools|All Regions|PS|q02a|How much do you know about the following post-high school options?|1-year certificate/ trades program|Knowledgeable|108|323|0.334365325077399|Race/Ethnicity|Multiracial|0|5|0|0|0|108|323|na|2024
|All Schools|All Regions|PS|q02a|How much do you know about the following post-high school options?|1-year certificate/ trades program|Knowledgeable|199|551|0.361161524500907|Race/Ethnicity|Hispanic/Latine/x|0|6|0|0|0|199|551|na|2024
|All Schools|All Regions|PS|q02a|How much do you know about the following post-high school options?|1-year certificate/ trades program|Knowledgeable|329|997|0.329989969909729|Race/Ethnicity|Students of Color|0|7|0|0|0|329|997|na|2024
|All Schools|All Regions|PS|q02b|How much do you know about the following post-high school options?|2-year degree/ Associate degree|Knowledgeable|696|1407|0.494669509594883|All|All|0|1|0|0|0|696|1407|na|2024
|All Schools|All Regions|PS|q02b|How much do you know about the following post-high school options?|2-year degree/ Associate degree|Knowledgeable|175|416|0.420673076923077|First Generation Status|Not First Generation|0|1|0|0|0|175|416|na|2024
|All Schools|All Regions|PS|q02b|How much do you know about the following post-high school options?|2-year degree/ Associate degree|Knowledgeable|521|991|0.525731584258325|First Generation Status|First Generation|0|2|0|0|0|521|991|na|2024
|All Schools|All Regions|PS|q02b|How much do you know about the following post-high school options?|2-year degree/ Associate degree|Knowledgeable|0|53|0|Gender|Other/Prefer Not to Say|0|1|0|0|0|0|53|na|2024
|All Schools|All Regions|PS|q02b|How much do you know about the following post-high school options?|2-year degree/ Associate degree|Knowledgeable|0|125|0|Gender|Unknown|0|2|0|0|0|0|125|na|2024
|All Schools|All Regions|PS|q02b|How much do you know about the following post-high school options?|2-year degree/ Associate degree|Knowledgeable|399|517|0.771760154738878|Gender|Male|0|3|0|0|0|399|517|na|2024
|All Schools|All Regions|PS|q02b|How much do you know about the following post-high school options?|2-year degree/ Associate degree|Knowledgeable|297|712|0.417134831460674|Gender|Female|0|4|0|0|0|297|712|na|2024
|All Schools|All Regions|PS|q02b|How much do you know about the following post-high school options?|2-year degree/ Associate degree|Knowledgeable|58|209|0.277511961722488|Grade Level|10th Grade|0|1|0|0|0|58|209|na|2024
|All Schools|All Regions|PS|q02b|How much do you know about the following post-high school options?|2-year degree/ Associate degree|Knowledgeable|43|324|0.132716049382716|Grade Level|9th Grade|0|2|0|0|0|43|324|na|2024
|All Schools|All Regions|PS|q02b|How much do you know about the following post-high school options?|2-year degree/ Associate degree|Knowledgeable|237|431|0.549883990719258|Grade Level|11th Grade|0|3|0|0|0|237|431|na|2024
|All Schools|All Regions|PS|q02b|How much do you know about the following post-high school options?|2-year degree/ Associate degree|Knowledgeable|358|443|0.808126410835214|Grade Level|12th Grade|0|4|0|0|0|358|443|na|2024
|All Schools|All Regions|PS|q02b|How much do you know about the following post-high school options?|2-year degree/ Associate degree|Knowledgeable|10|33|0.303030303030303|Race/Ethnicity|Asian/Asian American|0|1|0|0|0|10|33|na|2024
|All Schools|All Regions|PS|q02b|How much do you know about the following post-high school options?|2-year degree/ Associate degree|Knowledgeable|51|90|0.566666666666667|Race/Ethnicity|Black/African American|0|2|0|0|0|51|90|na|2024
|All Schools|All Regions|PS|q02b|How much do you know about the following post-high school options?|2-year degree/ Associate degree|Knowledgeable|0|134|0|Race/Ethnicity|Unknown|0|3|0|0|0|0|134|na|2024
|All Schools|All Regions|PS|q02b|How much do you know about the following post-high school options?|2-year degree/ Associate degree|Knowledgeable|234|276|0.847826086956522|Race/Ethnicity|White|0|4|0|0|0|234|276|na|2024
|All Schools|All Regions|PS|q02b|How much do you know about the following post-high school options?|2-year degree/ Associate degree|Knowledgeable|118|323|0.365325077399381|Race/Ethnicity|Multiracial|0|5|0|0|0|118|323|na|2024
|All Schools|All Regions|PS|q02b|How much do you know about the following post-high school options?|2-year degree/ Associate degree|Knowledgeable|283|551|0.513611615245009|Race/Ethnicity|Hispanic/Latine/x|0|6|0|0|0|283|551|na|2024
|All Schools|All Regions|PS|q02b|How much do you know about the following post-high school options?|2-year degree/ Associate degree|Knowledgeable|462|997|0.463390170511535|Race/Ethnicity|Students of Color|0|7|0|0|0|462|997|na|2024
|All Schools|All Regions|PS|q02c|How much do you know about the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Knowledgeable|640|1407|0.454868514570007|All|All|0|1|0|0|0|640|1407|na|2024
|All Schools|All Regions|PS|q02c|How much do you know about the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Knowledgeable|182|416|0.4375|First Generation Status|Not First Generation|0|1|0|0|0|182|416|na|2024
