construct|question|question_header|question_subheader|answer_type|count_met|count_staffs|pct_met|report_group|staff_group|ext_reference_cleaned|School|Region|lt10supp|rank_order|count_lt10supp|compsupp|flag_supp|count_met_og|count_staffs_og|suppression_notes|year
PS|q01b|Have you helped one or more students at your school explore the following post-high school options?|2-year degree/Associate degree|Yes/No|11|11|1|Race/Ethnicity|Unknown||All Schools|All Regions|0|2|0|0|0|11|11|na|2024
PS|q01b|Have you helped one or more students at your school explore the following post-high school options?|2-year degree/Associate degree|Yes/No|11|11|1|Race/Ethnicity|Staff of Color||All Schools|All Regions|0|3|0|0|0|11|11|na|2024
PS|q01b|Have you helped one or more students at your school explore the following post-high school options?|2-year degree/Associate degree|Yes/No|198|220|0.9|Race/Ethnicity|White||All Schools|All Regions|0|4|0|0|0|198|220|na|2024
PS|q01c|Have you helped one or more students at your school explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|176|242|0.727272727272727|All|All||All Schools|All Regions|0|1|0|0|0|176|242|na|2024
PS|q01c|Have you helped one or more students at your school explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|22|22|1|Gender|Other/Unknown/Prefer Not to Say||All Schools|All Regions|0|1|0|0|0|22|22|na|2024
PS|q01c|Have you helped one or more students at your school explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|77|110|0.7|Gender|Female||All Schools|All Regions|0|2|0|0|0|77|110|na|2024
PS|q01c|Have you helped one or more students at your school explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|77|110|0.7|Gender|Male||All Schools|All Regions|0|3|0|0|0|77|110|na|2024
PS|q01c|Have you helped one or more students at your school explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|11|11|1|Race/Ethnicity|Hispanic/Latine/x||All Schools|All Regions|0|1|0|0|0|11|11|na|2024
PS|q01c|Have you helped one or more students at your school explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|11|11|1|Race/Ethnicity|Unknown||All Schools|All Regions|0|2|0|0|0|11|11|na|2024
PS|q01c|Have you helped one or more students at your school explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|11|11|1|Race/Ethnicity|Staff of Color||All Schools|All Regions|0|3|0|0|0|11|11|na|2024
PS|q01c|Have you helped one or more students at your school explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|154|220|0.7|Race/Ethnicity|White||All Schools|All Regions|0|4|0|0|0|154|220|na|2024
PS|q01d|Have you helped one or more students at your school explore the following post-high school options?|4-year degree or higher|Yes/No|231|242|0.954545454545455|All|All||All Schools|All Regions|0|1|0|0|0|231|242|na|2024
PS|q01d|Have you helped one or more students at your school explore the following post-high school options?|4-year degree or higher|Yes/No|22|22|1|Gender|Other/Unknown/Prefer Not to Say||All Schools|All Regions|0|1|0|0|0|22|22|na|2024
PS|q01d|Have you helped one or more students at your school explore the following post-high school options?|4-year degree or higher|Yes/No|110|110|1|Gender|Female||All Schools|All Regions|0|2|0|0|0|110|110|na|2024
PS|q01d|Have you helped one or more students at your school explore the following post-high school options?|4-year degree or higher|Yes/No|99|110|0.9|Gender|Male||All Schools|All Regions|0|3|0|0|0|99|110|na|2024
PS|q01d|Have you helped one or more students at your school explore the following post-high school options?|4-year degree or higher|Yes/No|11|11|1|Race/Ethnicity|Hispanic/Latine/x||All Schools|All Regions|0|1|0|0|0|11|11|na|2024
PS|q01d|Have you helped one or more students at your school explore the following post-high school options?|4-year degree or higher|Yes/No|11|11|1|Race/Ethnicity|Unknown||All Schools|All Regions|0|2|0|0|0|11|11|na|2024
PS|q01d|Have you helped one or more students at your school explore the following post-high school options?|4-year degree or higher|Yes/No|11|11|1|Race/Ethnicity|Staff of Color||All Schools|All Regions|0|3|0|0|0|11|11|na|2024
PS|q01d|Have you helped one or more students at your school explore the following post-high school options?|4-year degree or higher|Yes/No|209|220|0.95|Race/Ethnicity|White||All Schools|All Regions|0|4|0|0|0|209|220|na|2024
PS|q01e|Have you helped one or more students at your school explore the following post-high school options?|I have helped students explore other post-high school options|Yes/No|154|242|0.636363636363636|All|All||All Schools|All Regions|0|1|0|0|0|154|242|na|2024
PS|q01e|Have you helped one or more students at your school explore the following post-high school options?|I have helped students explore other post-high school options|Yes/No|11|22|0.5|Gender|Other/Unknown/Prefer Not to Say||All Schools|All Regions|0|1|0|0|0|11|22|na|2024
PS|q01e|Have you helped one or more students at your school explore the following post-high school options?|I have helped students explore other post-high school options|Yes/No|88|110|0.8|Gender|Female||All Schools|All Regions|0|2|0|0|0|88|110|na|2024
PS|q01e|Have you helped one or more students at your school explore the following post-high school options?|I have helped students explore other post-high school options|Yes/No|55|110|0.5|Gender|Male||All Schools|All Regions|0|3|0|0|0|55|110|na|2024
PS|q01e|Have you helped one or more students at your school explore the following post-high school options?|I have helped students explore other post-high school options|Yes/No|11|11|1|Race/Ethnicity|Hispanic/Latine/x||All Schools|All Regions|0|1|0|0|0|11|11|na|2024
PS|q01e|Have you helped one or more students at your school explore the following post-high school options?|I have helped students explore other post-high school options|Yes/No|11|11|1|Race/Ethnicity|Unknown||All Schools|All Regions|0|2|0|0|0|11|11|na|2024
PS|q01e|Have you helped one or more students at your school explore the following post-high school options?|I have helped students explore other post-high school options|Yes/No|11|11|1|Race/Ethnicity|Staff of Color||All Schools|All Regions|0|3|0|0|0|11|11|na|2024
PS|q01e|Have you helped one or more students at your school explore the following post-high school options?|I have helped students explore other post-high school options|Yes/No|132|220|0.6|Race/Ethnicity|White||All Schools|All Regions|0|4|0|0|0|132|220|na|2024
PS|q03a|What percentage of students in this school do you believe WANT to obtain some level of post-high school education, including apprenticeship, 1-year and 2-year certificate, and 2-year and 4-year college? Percentage Slider||Continuous|88|242|0.363636363636364|All|All||All Schools|All Regions|0|1|0|0|0|88|242|na|2024
PS|q03a|What percentage of students in this school do you believe WANT to obtain some level of post-high school education, including apprenticeship, 1-year and 2-year certificate, and 2-year and 4-year college? Percentage Slider||Continuous|11|22|0.5|Gender|Other/Unknown/Prefer Not to Say||All Schools|All Regions|0|1|0|0|0|11|22|na|2024
PS|q03a|What percentage of students in this school do you believe WANT to obtain some level of post-high school education, including apprenticeship, 1-year and 2-year certificate, and 2-year and 4-year college? Percentage Slider||Continuous|44|110|0.4|Gender|Female||All Schools|All Regions|0|2|0|0|0|44|110|na|2024
PS|q03a|What percentage of students in this school do you believe WANT to obtain some level of post-high school education, including apprenticeship, 1-year and 2-year certificate, and 2-year and 4-year college? Percentage Slider||Continuous|33|110|0.3|Gender|Male||All Schools|All Regions|0|3|0|0|0|33|110|na|2024
PS|q03a|What percentage of students in this school do you believe WANT to obtain some level of post-high school education, including apprenticeship, 1-year and 2-year certificate, and 2-year and 4-year college? Percentage Slider||Continuous|0|11|0|Race/Ethnicity|Hispanic/Latine/x||All Schools|All Regions|0|1|0|0|0|0|11|na|2024
PS|q03a|What percentage of students in this school do you believe WANT to obtain some level of post-high school education, including apprenticeship, 1-year and 2-year certificate, and 2-year and 4-year college? Percentage Slider||Continuous|11|11|1|Race/Ethnicity|Unknown||All Schools|All Regions|0|2|0|0|0|11|11|na|2024
PS|q03a|What percentage of students in this school do you believe WANT to obtain some level of post-high school education, including apprenticeship, 1-year and 2-year certificate, and 2-year and 4-year college? Percentage Slider||Continuous|0|11|0|Race/Ethnicity|Staff of Color||All Schools|All Regions|0|3|0|0|0|0|11|na|2024
PS|q03a|What percentage of students in this school do you believe WANT to obtain some level of post-high school education, including apprenticeship, 1-year and 2-year certificate, and 2-year and 4-year college? Percentage Slider||Continuous|77|220|0.35|Race/Ethnicity|White||All Schools|All Regions|0|4|0|0|0|77|220|na|2024
PS|q06a|How much do you know about the following post-high school options?|1-year certificate/trades program|Knowledgeable|55|242|0.227272727272727|All|All||All Schools|All Regions|0|1|0|0|0|55|242|na|2024
PS|q06a|How much do you know about the following post-high school options?|1-year certificate/trades program|Knowledgeable|0|22|0|Gender|Other/Unknown/Prefer Not to Say||All Schools|All Regions|0|1|0|0|0|0|22|na|2024
PS|q06a|How much do you know about the following post-high school options?|1-year certificate/trades program|Knowledgeable|22|110|0.2|Gender|Female||All Schools|All Regions|0|2|0|0|0|22|110|na|2024
PS|q06a|How much do you know about the following post-high school options?|1-year certificate/trades program|Knowledgeable|33|110|0.3|Gender|Male||All Schools|All Regions|0|3|0|0|0|33|110|na|2024
PS|q06a|How much do you know about the following post-high school options?|1-year certificate/trades program|Knowledgeable|11|11|1|Race/Ethnicity|Hispanic/Latine/x||All Schools|All Regions|0|1|0|0|0|11|11|na|2024
PS|q06a|How much do you know about the following post-high school options?|1-year certificate/trades program|Knowledgeable|0|11|0|Race/Ethnicity|Unknown||All Schools|All Regions|0|2|0|0|0|0|11|na|2024
PS|q06a|How much do you know about the following post-high school options?|1-year certificate/trades program|Knowledgeable|11|11|1|Race/Ethnicity|Staff of Color||All Schools|All Regions|0|3|0|0|0|11|11|na|2024
PS|q06a|How much do you know about the following post-high school options?|1-year certificate/trades program|Knowledgeable|44|220|0.2|Race/Ethnicity|White||All Schools|All Regions|0|4|0|0|0|44|220|na|2024
PS|q06b|How much do you know about the following post-high school options?|2-year degree/Associate degree|Knowledgeable|198|242|0.818181818181818|All|All||All Schools|All Regions|0|1|0|0|0|198|242|na|2024
PS|q06b|How much do you know about the following post-high school options?|2-year degree/Associate degree|Knowledgeable|22|22|1|Gender|Other/Unknown/Prefer Not to Say||All Schools|All Regions|0|1|0|0|0|22|22|na|2024
PS|q06b|How much do you know about the following post-high school options?|2-year degree/Associate degree|Knowledgeable|88|110|0.8|Gender|Female||All Schools|All Regions|0|2|0|0|0|88|110|na|2024
PS|q06b|How much do you know about the following post-high school options?|2-year degree/Associate degree|Knowledgeable|88|110|0.8|Gender|Male||All Schools|All Regions|0|3|0|0|0|88|110|na|2024
PS|q06b|How much do you know about the following post-high school options?|2-year degree/Associate degree|Knowledgeable|11|11|1|Race/Ethnicity|Hispanic/Latine/x||All Schools|All Regions|0|1|0|0|0|11|11|na|2024
PS|q06b|How much do you know about the following post-high school options?|2-year degree/Associate degree|Knowledgeable|11|11|1|Race/Ethnicity|Unknown||All Schools|All Regions|0|2|0|0|0|11|11|na|2024
PS|q06b|How much do you know about the following post-high school options?|2-year degree/Associate degree|Knowledgeable|11|11|1|Race/Ethnicity|Staff of Color||All Schools|All Regions|0|3|0|0|0|11|11|na|2024
PS|q06b|How much do you know about the following post-high school options?|2-year degree/Associate degree|Knowledgeable|176|220|0.8|Race/Ethnicity|White||All Schools|All Regions|0|4|0|0|0|176|220|na|2024
PS|q06c|How much do you know about the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Knowledgeable|33|242|0.136363636363636|All|All||All Schools|All Regions|0|1|0|0|0|33|242|na|2024
PS|q06c|How much do you know about the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Knowledgeable|0|22|0|Gender|Other/Unknown/Prefer Not to Say||All Schools|All Regions|0|1|0|0|0|0|22|na|2024
PS|q06c|How much do you know about the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Knowledgeable|0|110|0|Gender|Female||All Schools|All Regions|0|2|0|0|0|0|110|na|2024
PS|q06c|How much do you know about the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Knowledgeable|33|110|0.3|Gender|Male||All Schools|All Regions|0|3|0|0|0|33|110|na|2024
PS|q06c|How much do you know about the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Knowledgeable|11|11|1|Race/Ethnicity|Hispanic/Latine/x||All Schools|All Regions|0|1|0|0|0|11|11|na|2024
PS|q06c|How much do you know about the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Knowledgeable|0|11|0|Race/Ethnicity|Unknown||All Schools|All Regions|0|2|0|0|0|0|11|na|2024
PS|q06c|How much do you know about the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Knowledgeable|11|11|1|Race/Ethnicity|Staff of Color||All Schools|All Regions|0|3|0|0|0|11|11|na|2024
PS|q06c|How much do you know about the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Knowledgeable|22|220|0.1|Race/Ethnicity|White||All Schools|All Regions|0|4|0|0|0|22|220|na|2024
PS|q06d|How much do you know about the following post-high school options?|4-year degree or higher|Knowledgeable|209|242|0.863636363636364|All|All||All Schools|All Regions|0|1|0|0|0|209|242|na|2024
PS|q06d|How much do you know about the following post-high school options?|4-year degree or higher|Knowledgeable|22|22|1|Gender|Other/Unknown/Prefer Not to Say||All Schools|All Regions|0|1|0|0|0|22|22|na|2024
PS|q06d|How much do you know about the following post-high school options?|4-year degree or higher|Knowledgeable|99|110|0.9|Gender|Female||All Schools|All Regions|0|2|0|0|0|99|110|na|2024
PS|q06d|How much do you know about the following post-high school options?|4-year degree or higher|Knowledgeable|88|110|0.8|Gender|Male||All Schools|All Regions|0|3|0|0|0|88|110|na|2024
PS|q06d|How much do you know about the following post-high school options?|4-year degree or higher|Knowledgeable|11|11|1|Race/Ethnicity|Hispanic/Latine/x||All Schools|All Regions|0|1|0|0|0|11|11|na|2024
PS|q06d|How much do you know about the following post-high school options?|4-year degree or higher|Knowledgeable|11|11|1|Race/Ethnicity|Unknown||All Schools|All Regions|0|2|0|0|0|11|11|na|2024
PS|q06d|How much do you know about the following post-high school options?|4-year degree or higher|Knowledgeable|11|11|1|Race/Ethnicity|Staff of Color||All Schools|All Regions|0|3|0|0|0|11|11|na|2024
PS|q06d|How much do you know about the following post-high school options?|4-year degree or higher|Knowledgeable|187|220|0.85|Race/Ethnicity|White||All Schools|All Regions|0|4|0|0|0|187|220|na|2024
FA|q07a|Have you helped one or more students at your school explore the following financial aid/scholarship options? *Note: Financial aid includes grants and loans that cover some or all of the cost of college, certificates, and apprenticeships.|FAFSA|Yes/No|132|242|0.545454545454545|All|All||All Schools|All Regions|0|1|0|0|0|132|242|na|2024
FA|q07a|Have you helped one or more students at your school explore the following financial aid/scholarship options? *Note: Financial aid includes grants and loans that cover some or all of the cost of college, certificates, and apprenticeships.|FAFSA|Yes/No|11|22|0.5|Gender|Other/Unknown/Prefer Not to Say||All Schools|All Regions|0|1|0|0|0|11|22|na|2024
FA|q07a|Have you helped one or more students at your school explore the following financial aid/scholarship options? *Note: Financial aid includes grants and loans that cover some or all of the cost of college, certificates, and apprenticeships.|FAFSA|Yes/No|55|110|0.5|Gender|Female||All Schools|All Regions|0|2|0|0|0|55|110|na|2024
FA|q07a|Have you helped one or more students at your school explore the following financial aid/scholarship options? *Note: Financial aid includes grants and loans that cover some or all of the cost of college, certificates, and apprenticeships.|FAFSA|Yes/No|66|110|0.6|Gender|Male||All Schools|All Regions|0|3|0|0|0|66|110|na|2024
FA|q07a|Have you helped one or more students at your school explore the following financial aid/scholarship options? *Note: Financial aid includes grants and loans that cover some or all of the cost of college, certificates, and apprenticeships.|FAFSA|Yes/No|11|11|1|Race/Ethnicity|Hispanic/Latine/x||All Schools|All Regions|0|1|0|0|0|11|11|na|2024
FA|q07a|Have you helped one or more students at your school explore the following financial aid/scholarship options? *Note: Financial aid includes grants and loans that cover some or all of the cost of college, certificates, and apprenticeships.|FAFSA|Yes/No|0|11|0|Race/Ethnicity|Unknown||All Schools|All Regions|0|2|0|0|0|0|11|na|2024
FA|q07a|Have you helped one or more students at your school explore the following financial aid/scholarship options? *Note: Financial aid includes grants and loans that cover some or all of the cost of college, certificates, and apprenticeships.|FAFSA|Yes/No|11|11|1|Race/Ethnicity|Staff of Color||All Schools|All Regions|0|3|0|0|0|11|11|na|2024
FA|q07a|Have you helped one or more students at your school explore the following financial aid/scholarship options? *Note: Financial aid includes grants and loans that cover some or all of the cost of college, certificates, and apprenticeships.|FAFSA|Yes/No|121|220|0.55|Race/Ethnicity|White||All Schools|All Regions|0|4|0|0|0|121|220|na|2024
FA|q07b|Have you helped one or more students at your school explore the following financial aid/scholarship options? *Note: Financial aid includes grants and loans that cover some or all of the cost of college, certificates, and apprenticeships.|Washington College Grant|Yes/No|33|242|0.136363636363636|All|All||All Schools|All Regions|0|1|0|0|0|33|242|na|2024
FA|q07b|Have you helped one or more students at your school explore the following financial aid/scholarship options? *Note: Financial aid includes grants and loans that cover some or all of the cost of college, certificates, and apprenticeships.|Washington College Grant|Yes/No|0|22|0|Gender|Other/Unknown/Prefer Not to Say||All Schools|All Regions|0|1|0|0|0|0|22|na|2024
FA|q07b|Have you helped one or more students at your school explore the following financial aid/scholarship options? *Note: Financial aid includes grants and loans that cover some or all of the cost of college, certificates, and apprenticeships.|Washington College Grant|Yes/No|22|110|0.2|Gender|Female||All Schools|All Regions|0|2|0|0|0|22|110|na|2024
FA|q07b|Have you helped one or more students at your school explore the following financial aid/scholarship options? *Note: Financial aid includes grants and loans that cover some or all of the cost of college, certificates, and apprenticeships.|Washington College Grant|Yes/No|11|110|0.1|Gender|Male||All Schools|All Regions|0|3|0|0|0|11|110|na|2024
FA|q07b|Have you helped one or more students at your school explore the following financial aid/scholarship options? *Note: Financial aid includes grants and loans that cover some or all of the cost of college, certificates, and apprenticeships.|Washington College Grant|Yes/No|0|11|0|Race/Ethnicity|Hispanic/Latine/x||All Schools|All Regions|0|1|0|0|0|0|11|na|2024
FA|q07b|Have you helped one or more students at your school explore the following financial aid/scholarship options? *Note: Financial aid includes grants and loans that cover some or all of the cost of college, certificates, and apprenticeships.|Washington College Grant|Yes/No|0|11|0|Race/Ethnicity|Unknown||All Schools|All Regions|0|2|0|0|0|0|11|na|2024
FA|q07b|Have you helped one or more students at your school explore the following financial aid/scholarship options? *Note: Financial aid includes grants and loans that cover some or all of the cost of college, certificates, and apprenticeships.|Washington College Grant|Yes/No|0|11|0|Race/Ethnicity|Staff of Color||All Schools|All Regions|0|3|0|0|0|0|11|na|2024
FA|q07b|Have you helped one or more students at your school explore the following financial aid/scholarship options? *Note: Financial aid includes grants and loans that cover some or all of the cost of college, certificates, and apprenticeships.|Washington College Grant|Yes/No|33|220|0.15|Race/Ethnicity|White||All Schools|All Regions|0|4|0|0|0|33|220|na|2024
FA|q07c|Have you helped one or more students at your school explore the following financial aid/scholarship options? *Note: Financial aid includes grants and loans that cover some or all of the cost of college, certificates, and apprenticeships.|College Bound Scholarship|Yes/No|88|242|0.363636363636364|All|All||All Schools|All Regions|0|1|0|0|0|88|242|na|2024
FA|q07c|Have you helped one or more students at your school explore the following financial aid/scholarship options? *Note: Financial aid includes grants and loans that cover some or all of the cost of college, certificates, and apprenticeships.|College Bound Scholarship|Yes/No|0|22|0|Gender|Other/Unknown/Prefer Not to Say||All Schools|All Regions|0|1|0|0|0|0|22|na|2024
FA|q07c|Have you helped one or more students at your school explore the following financial aid/scholarship options? *Note: Financial aid includes grants and loans that cover some or all of the cost of college, certificates, and apprenticeships.|College Bound Scholarship|Yes/No|33|110|0.3|Gender|Female||All Schools|All Regions|0|2|0|0|0|33|110|na|2024
FA|q07c|Have you helped one or more students at your school explore the following financial aid/scholarship options? *Note: Financial aid includes grants and loans that cover some or all of the cost of college, certificates, and apprenticeships.|College Bound Scholarship|Yes/No|55|110|0.5|Gender|Male||All Schools|All Regions|0|3|0|0|0|55|110|na|2024
FA|q07c|Have you helped one or more students at your school explore the following financial aid/scholarship options? *Note: Financial aid includes grants and loans that cover some or all of the cost of college, certificates, and apprenticeships.|College Bound Scholarship|Yes/No|11|11|1|Race/Ethnicity|Hispanic/Latine/x||All Schools|All Regions|0|1|0|0|0|11|11|na|2024
FA|q07c|Have you helped one or more students at your school explore the following financial aid/scholarship options? *Note: Financial aid includes grants and loans that cover some or all of the cost of college, certificates, and apprenticeships.|College Bound Scholarship|Yes/No|0|11|0|Race/Ethnicity|Unknown||All Schools|All Regions|0|2|0|0|0|0|11|na|2024
FA|q07c|Have you helped one or more students at your school explore the following financial aid/scholarship options? *Note: Financial aid includes grants and loans that cover some or all of the cost of college, certificates, and apprenticeships.|College Bound Scholarship|Yes/No|11|11|1|Race/Ethnicity|Staff of Color||All Schools|All Regions|0|3|0|0|0|11|11|na|2024
FA|q07c|Have you helped one or more students at your school explore the following financial aid/scholarship options? *Note: Financial aid includes grants and loans that cover some or all of the cost of college, certificates, and apprenticeships.|College Bound Scholarship|Yes/No|77|220|0.35|Race/Ethnicity|White||All Schools|All Regions|0|4|0|0|0|77|220|na|2024
FA|q07d|Have you helped one or more students at your school explore the following financial aid/scholarship options? *Note: Financial aid includes grants and loans that cover some or all of the cost of college, certificates, and apprenticeships.|I have helped students explore other financial aid options.|Yes/No|22|198|0.111111111111111|All|All||All Schools|All Regions|0|1|0|0|0|22|198|na|2024
FA|q07d|Have you helped one or more students at your school explore the following financial aid/scholarship options? *Note: Financial aid includes grants and loans that cover some or all of the cost of college, certificates, and apprenticeships.|I have helped students explore other financial aid options.|Yes/No|11|22|0.5|Gender|Other/Unknown/Prefer Not to Say||All Schools|All Regions|0|1|0|0|0|11|22|na|2024
FA|q07d|Have you helped one or more students at your school explore the following financial aid/scholarship options? *Note: Financial aid includes grants and loans that cover some or all of the cost of college, certificates, and apprenticeships.|I have helped students explore other financial aid options.|Yes/No|11|88|0.125|Gender|Female||All Schools|All Regions|0|2|0|0|0|11|88|na|2024
FA|q07d|Have you helped one or more students at your school explore the following financial aid/scholarship options? *Note: Financial aid includes grants and loans that cover some or all of the cost of college, certificates, and apprenticeships.|I have helped students explore other financial aid options.|Yes/No|0|88|0|Gender|Male||All Schools|All Regions|0|3|0|0|0|0|88|na|2024
FA|q07d|Have you helped one or more students at your school explore the following financial aid/scholarship options? *Note: Financial aid includes grants and loans that cover some or all of the cost of college, certificates, and apprenticeships.|I have helped students explore other financial aid options.|Yes/No|0|11|0|Race/Ethnicity|Hispanic/Latine/x||All Schools|All Regions|0|1|0|0|0|0|11|na|2024
FA|q07d|Have you helped one or more students at your school explore the following financial aid/scholarship options? *Note: Financial aid includes grants and loans that cover some or all of the cost of college, certificates, and apprenticeships.|I have helped students explore other financial aid options.|Yes/No|0|11|0|Race/Ethnicity|Unknown||All Schools|All Regions|0|2|0|0|0|0|11|na|2024
FA|q07d|Have you helped one or more students at your school explore the following financial aid/scholarship options? *Note: Financial aid includes grants and loans that cover some or all of the cost of college, certificates, and apprenticeships.|I have helped students explore other financial aid options.|Yes/No|0|11|0|Race/Ethnicity|Staff of Color||All Schools|All Regions|0|3|0|0|0|0|11|na|2024
FA|q07d|Have you helped one or more students at your school explore the following financial aid/scholarship options? *Note: Financial aid includes grants and loans that cover some or all of the cost of college, certificates, and apprenticeships.|I have helped students explore other financial aid options.|Yes/No|22|176|0.125|Race/Ethnicity|White||All Schools|All Regions|0|4|0|0|0|22|176|na|2024
FA|q07e|Have you helped one or more students at your school explore the following financial aid/scholarship options? *Note: Financial aid includes grants and loans that cover some or all of the cost of college, certificates, and apprenticeships.|WASFA|Yes/No|55|242|0.227272727272727|All|All||All Schools|All Regions|0|1|0|0|0|55|242|na|2024
FA|q07e|Have you helped one or more students at your school explore the following financial aid/scholarship options? *Note: Financial aid includes grants and loans that cover some or all of the cost of college, certificates, and apprenticeships.|WASFA|Yes/No|0|22|0|Gender|Other/Unknown/Prefer Not to Say||All Schools|All Regions|0|1|0|0|0|0|22|na|2024
FA|q07e|Have you helped one or more students at your school explore the following financial aid/scholarship options? *Note: Financial aid includes grants and loans that cover some or all of the cost of college, certificates, and apprenticeships.|WASFA|Yes/No|22|110|0.2|Gender|Female||All Schools|All Regions|0|2|0|0|0|22|110|na|2024
FA|q07e|Have you helped one or more students at your school explore the following financial aid/scholarship options? *Note: Financial aid includes grants and loans that cover some or all of the cost of college, certificates, and apprenticeships.|WASFA|Yes/No|33|110|0.3|Gender|Male||All Schools|All Regions|0|3|0|0|0|33|110|na|2024
FA|q07e|Have you helped one or more students at your school explore the following financial aid/scholarship options? *Note: Financial aid includes grants and loans that cover some or all of the cost of college, certificates, and apprenticeships.|WASFA|Yes/No|0|11|0|Race/Ethnicity|Hispanic/Latine/x||All Schools|All Regions|0|1|0|0|0|0|11|na|2024
FA|q07e|Have you helped one or more students at your school explore the following financial aid/scholarship options? *Note: Financial aid includes grants and loans that cover some or all of the cost of college, certificates, and apprenticeships.|WASFA|Yes/No|0|11|0|Race/Ethnicity|Unknown||All Schools|All Regions|0|2|0|0|0|0|11|na|2024
FA|q07e|Have you helped one or more students at your school explore the following financial aid/scholarship options? *Note: Financial aid includes grants and loans that cover some or all of the cost of college, certificates, and apprenticeships.|WASFA|Yes/No|0|11|0|Race/Ethnicity|Staff of Color||All Schools|All Regions|0|3|0|0|0|0|11|na|2024
